ms,speed,rpm,gear,throttle,mult
8,0.00,0.2000,1,0.000,1.00
18,0.03,0.2000,1,1.000,1.00
27,0.06,0.2000,1,1.000,1.00
35,0.08,0.2000,1,1.000,1.00
45,0.10,0.2000,1,1.000,1.00
54,0.12,0.2000,1,1.000,1.00
62,0.13,0.2000,1,1.000,1.00
70,0.15,0.2000,1,1.000,1.00
78,0.16,0.2000,1,1.000,1.00
87,0.18,0.2000,1,1.000,1.00
95,0.19,0.2000,1,1.000,1.00
103,0.20,0.2000,1,1.000,1.00
111,0.22,0.2000,1,1.000,1.00
119,0.23,0.2000,1,1.000,1.00
128,0.24,0.2000,1,1.000,1.00
136,0.25,0.2000,1,1.000,1.00
144,0.26,0.2000,1,1.000,1.00
152,0.28,0.2000,1,1.000,1.00
160,0.29,0.2000,1,1.000,1.00
168,0.30,0.2000,1,1.000,1.00
177,0.32,0.2028,1,1.000,1.00
185,0.33,0.2114,1,1.000,1.00
193,0.35,0.2195,1,1.000,1.00
202,0.36,0.2279,1,1.000,1.00
210,0.38,0.2361,1,1.000,1.00
220,0.40,0.2457,1,1.000,1.00
229,0.42,0.2549,1,1.000,1.00
238,0.44,0.2640,1,1.000,1.00
248,0.46,0.2745,1,1.000,1.00
257,0.48,0.2835,1,1.000,1.00
266,0.50,0.2921,1,1.000,1.00
275,0.53,0.3014,1,1.000,1.00
284,0.55,0.3102,1,1.000,1.00
293,0.57,0.3196,1,1.000,1.00
303,0.60,0.3291,1,1.000,1.00
315,0.63,0.3409,1,1.000,1.00
327,0.66,0.3536,1,1.000,1.00
339,0.69,0.3648,1,1.000,1.00
350,0.72,0.3757,1,1.000,1.00
360,0.75,0.3864,1,1.000,1.00
370,0.77,0.3957,1,1.000,1.00
378,0.80,0.4045,1,1.000,1.00
388,0.83,0.4142,1,1.000,1.00
397,0.85,0.4233,1,1.000,1.00
405,0.88,0.4315,1,1.000,1.00
413,0.90,0.4394,1,1.000,1.00
422,0.92,0.4477,1,1.000,1.00
430,0.95,0.4565,1,1.000,1.00
439,0.98,0.4656,1,1.000,1.00
449,1.01,0.4755,1,1.000,1.00
458,1.04,0.4846,1,1.000,1.00
467,1.06,0.4930,1,1.000,1.00
477,1.09,0.5028,1,1.000,1.00
485,1.12,0.5109,1,1.000,1.00
493,1.14,0.5189,1,1.000,1.00
501,1.17,0.5269,1,1.000,1.00
509,1.20,0.5355,1,1.000,1.00
518,1.23,0.5445,1,1.000,1.00
527,1.25,0.5530,1,1.000,1.00
535,1.28,0.5609,1,1.000,1.00
545,1.31,0.5712,1,1.000,1.00
554,1.34,0.5802,1,1.000,1.00
562,1.37,0.5883,1,1.000,1.00
571,1.40,0.5971,1,1.000,1.00
579,1.43,0.6051,1,1.000,1.00
587,1.46,0.6128,1,1.000,1.00
595,1.49,0.6209,1,1.000,1.00
605,1.52,0.6308,1,1.000,1.00
614,1.55,0.6398,1,1.000,1.00
623,1.59,0.6489,1,1.000,1.00
631,1.62,0.6573,1,1.000,1.00
640,1.65,0.6659,1,1.000,1.00
649,1.68,0.6748,1,1.000,1.00
658,1.72,0.6843,1,1.000,1.00
666,1.75,0.6923,1,1.000,1.00
674,1.78,0.7004,1,1.000,1.00
683,1.82,0.7092,1,1.000,1.00
691,1.85,0.7171,1,1.000,1.00
699,1.88,0.7252,1,1.000,1.00
708,1.91,0.7339,1,1.000,1.00
716,1.95,0.7423,1,1.000,1.00
724,1.98,0.7505,1,1.000,1.00
733,2.02,0.7594,1,1.000,1.00
741,2.05,0.7676,1,1.000,1.00
751,2.09,0.7768,1,1.000,1.00
759,2.13,0.7855,1,1.000,1.00
768,2.16,0.7937,1,1.000,1.00
776,2.20,0.8025,1,1.000,1.00
786,2.24,0.8118,1,1.000,1.00
795,2.28,0.8207,1,1.000,1.00
803,2.32,0.8295,1,1.000,1.00
812,2.36,0.8378,1,1.000,1.00
821,2.40,0.8468,1,1.000,1.00
829,2.43,0.8550,1,1.000,1.00
837,2.47,0.8631,1,1.000,1.00
845,2.51,0.8710,1,1.000,1.00
854,2.55,0.8798,1,1.000,1.00
863,2.59,0.8887,1,1.000,1.00
871,2.63,0.8975,1,1.000,1.00
880,2.67,0.9059,1,1.000,1.00
888,2.72,0.9146,1,1.000,1.00
897,2.75,0.9227,1,1.000,1.00
905,2.80,0.9311,1,1.000,1.00
913,2.84,0.9393,1,1.000,1.00
922,2.88,0.9478,1,1.000,1.00
930,2.92,0.9563,1,1.000,1.00
940,2.97,0.9659,1,1.000,1.00
949,3.02,0.9755,1,1.000,1.00
959,3.07,0.9847,1,1.000,1.00
967,3.12,0.9934,1,1.000,1.00
976,3.16,1.0000,1,1.000,1.00
985,3.22,1.0000,1,1.000,1.00
994,3.27,1.0000,1,1.000,1.00
1003,3.31,1.0000,1,1.000,1.00
1012,3.36,1.0000,1,1.000,1.00
1021,3.41,1.0000,1,1.000,1.00
1029,3.46,1.0000,1,1.000,1.00
1037,3.51,1.0000,1,1.000,1.00
1045,3.55,1.0000,1,1.000,1.00
1054,3.60,1.0000,1,1.000,1.00
1063,3.66,1.0000,1,1.000,1.00
1072,3.71,1.0000,1,1.000,1.00
1080,3.76,1.0000,1,1.000,1.00
1089,3.82,1.0000,1,1.000,1.00
1098,3.87,1.0000,1,1.000,1.00
1108,3.93,1.0000,1,1.000,1.00
1117,3.99,1.0000,1,1.000,1.00
1125,4.04,1.0000,1,1.000,1.00
1133,4.10,1.0000,1,1.000,1.00
1143,4.15,1.0000,1,1.000,1.00
1151,4.21,1.0000,1,1.000,1.00
1159,4.26,1.0000,1,1.000,1.00
1167,4.31,1.0000,1,1.000,1.00
1175,4.37,1.0000,1,1.000,1.00
1184,4.43,1.0000,1,1.000,1.00
1192,4.49,1.0000,1,1.000,1.00
1200,4.55,1.0000,1,1.000,1.00
1209,4.60,1.0000,1,1.000,1.00
1217,4.66,1.0000,1,1.000,1.00
1226,4.73,1.0000,1,1.000,1.00
1235,4.79,1.0000,1,1.000,1.00
1243,4.85,1.0000,1,1.000,1.00
1252,4.92,1.0000,1,1.000,1.00
1261,4.98,1.0000,1,1.000,1.00
1269,5.05,1.0000,1,1.000,1.00
1278,5.12,1.0000,1,1.000,1.00
1286,5.18,1.0000,1,1.000,1.00
1296,5.25,1.0000,1,1.000,1.00
1306,5.34,1.0000,1,1.000,1.00
1315,5.41,1.0000,1,1.000,1.00
1324,5.48,1.0000,1,1.000,1.00
1333,5.55,1.0000,1,1.000,1.00
1341,5.62,1.0000,1,1.000,1.00
1350,5.70,1.0000,1,1.000,1.00
1360,5.77,1.0000,1,1.000,1.00
1368,5.85,1.0000,1,1.000,1.00
1377,5.92,1.0000,1,1.000,1.00
1387,6.01,1.0000,1,1.000,1.00
1396,6.09,1.0000,1,1.000,1.00
1407,6.19,1.0000,1,1.000,1.00
1420,6.30,1.0000,1,1.000,1.00
1434,6.43,1.0000,1,1.000,1.00
1451,6.59,1.0000,1,1.000,1.00
1465,6.73,1.0000,1,1.000,1.00
1479,6.86,1.0000,1,1.000,1.00
1491,6.97,1.0000,1,1.000,1.00
1500,7.07,1.0000,2,1.000,1.00
1512,7.18,0.9885,2,1.000,1.00
1521,7.28,0.9792,2,1.000,1.00
1530,7.37,0.9705,2,1.000,1.00
1538,7.46,0.9618,2,1.000,1.00
1549,7.56,0.9514,2,1.000,1.00
1559,7.68,0.9409,2,1.000,1.00
1568,7.77,0.9318,2,1.000,1.00
1578,7.86,0.9227,2,1.000,1.00
1586,7.95,0.9137,2,1.000,1.00
1595,8.03,0.9053,2,1.000,1.00
1603,8.11,0.8972,2,1.000,1.00
1612,8.20,0.8885,2,1.000,1.00
1622,8.31,0.8786,2,1.000,1.00
1630,8.40,0.8699,2,1.000,1.00
1639,8.50,0.8611,2,1.000,1.00
1647,8.59,0.8527,2,1.000,1.00
1657,8.70,0.8428,2,1.000,1.00
1667,8.81,0.8334,2,1.000,1.00
1675,8.90,0.8252,2,1.000,1.00
1684,9.00,0.8164,2,1.000,1.00
1694,9.12,0.8063,2,1.000,1.00
1702,9.22,0.7977,2,1.000,1.00
1711,9.32,0.7894,2,1.000,1.00
1719,9.42,0.7811,2,1.000,1.00
1727,9.51,0.7731,2,1.000,1.00
1735,9.60,0.7652,2,1.000,1.00
1743,9.70,0.7572,2,1.000,1.00
1751,9.80,0.7487,2,1.000,1.00
1760,9.89,0.7475,2,1.000,1.00
1769,10.00,0.7509,2,1.000,1.00
1778,10.11,0.7548,2,1.000,1.00
1787,10.22,0.7586,2,1.000,1.00
1795,10.32,0.7624,2,1.000,1.00
1804,10.43,0.7660,2,1.000,1.00
1813,10.54,0.7696,2,1.000,1.00
1822,10.65,0.7736,2,1.000,1.00
1829,10.74,0.7771,2,1.000,1.00
1838,10.85,0.7805,2,1.000,1.00
1847,10.97,0.7840,2,1.000,1.00
1856,11.09,0.7880,2,1.000,1.00
1866,11.22,0.7918,2,1.000,1.00
1875,11.36,0.7958,2,1.000,1.00
1884,11.49,0.7999,2,1.000,1.00
1893,11.61,0.7912,2,1.000,1.00
1901,11.74,0.7827,2,1.000,1.00
1910,11.86,0.7739,2,1.000,1.00
1920,12.00,0.7644,2,1.000,1.00
1928,12.13,0.7558,2,1.000,1.00
1938,12.27,0.7464,2,1.000,1.00
1947,12.41,0.7374,2,1.000,1.00
1955,12.54,0.7291,2,1.000,1.00
1963,12.67,0.7209,2,1.000,1.00
1972,12.81,0.7119,2,1.000,1.00
1982,12.96,0.7021,2,1.000,1.00
1991,13.11,0.6926,2,1.000,1.00
2000,13.25,0.6840,2,1.000,1.00
2009,13.39,0.6754,2,1.000,1.00
2018,13.53,0.6664,2,1.000,1.00
2026,13.67,0.6580,2,1.000,1.00
2035,13.80,0.6495,2,1.000,1.00
2042,13.93,0.6417,2,1.000,1.00
2051,14.07,0.6329,2,1.000,1.00
2060,14.21,0.6242,2,1.000,1.00
2068,14.35,0.6159,2,1.000,1.00
2076,14.48,0.6076,2,1.000,1.00
2085,14.62,0.5994,2,1.000,1.00
2093,14.75,0.5910,2,1.000,1.00
2101,14.89,0.5827,2,1.000,1.00
2109,15.02,0.5853,2,1.000,1.00
2118,15.17,0.5900,2,1.000,1.00
2127,15.31,0.5946,2,1.000,1.00
2136,15.45,0.5998,2,1.000,1.00
2145,15.59,0.6047,2,1.000,1.00
2153,15.71,0.6095,2,1.000,1.00
2161,15.84,0.6142,2,1.000,1.00
2170,15.96,0.6186,2,1.000,1.00
2179,16.09,0.6230,2,1.000,1.00
2188,16.22,0.6271,2,1.000,1.00
2197,16.34,0.6315,2,1.000,1.00
2207,16.46,0.6359,2,1.000,1.00
2219,16.61,0.6402,2,1.000,1.00
2228,16.73,0.6445,2,1.000,1.00
2238,16.84,0.6497,2,1.000,1.00
2249,16.97,0.6538,2,1.000,1.00
2259,17.08,0.6577,2,1.000,1.00
2271,17.21,0.6622,2,1.000,1.00
2283,17.34,0.6662,2,1.000,1.00
2294,17.45,0.6705,2,1.000,1.00
2307,17.57,0.6751,2,1.000,1.00
2319,17.68,0.6791,2,1.000,1.00
2329,17.78,0.6834,2,1.000,1.00
2338,17.86,0.6875,2,1.000,1.00
2348,17.95,0.6908,2,1.000,1.00
2356,18.03,0.6938,2,1.000,1.00
2364,18.10,0.6971,2,1.000,1.00
2373,18.17,0.6998,2,1.000,1.00
2382,18.25,0.7024,2,1.000,1.00
2391,18.33,0.7049,2,1.000,1.00
2400,18.39,0.7078,2,1.000,1.00
2410,18.48,0.7107,2,1.000,1.00
2419,18.55,0.7131,2,1.000,1.00
2428,18.63,0.7161,2,1.000,1.00
2438,18.70,0.7187,2,1.000,1.00
2448,18.78,0.7215,2,1.000,1.00
2459,18.86,0.7242,2,1.000,1.00
2468,18.93,0.7272,2,1.000,1.00
2477,18.99,0.7302,2,1.000,1.00
2486,19.06,0.7327,2,1.000,1.00
2495,19.12,0.7352,2,1.000,1.00
2504,19.18,0.7377,2,1.000,1.00
2512,19.24,0.7401,2,1.000,1.00
2522,19.31,0.7424,2,1.000,1.00
2531,19.37,0.7447,2,1.000,1.00
2540,19.44,0.7472,2,1.000,1.00
2550,19.50,0.7495,2,1.000,1.00
2560,19.58,0.7520,2,1.000,1.00
2570,19.64,0.7545,2,1.000,1.00
2579,19.70,0.7572,2,1.000,1.00
2590,19.77,0.7598,2,1.000,1.00
2600,19.85,0.7621,2,1.000,1.00
2612,19.92,0.7648,2,1.000,1.00
2626,20.02,0.7675,2,1.000,1.00
2637,20.09,0.7705,2,1.000,1.00
2647,20.14,0.7740,2,1.000,1.00
2657,20.23,0.7829,2,1.000,1.00
2666,20.33,0.7875,2,1.000,1.00
2675,20.43,0.7908,2,1.000,1.00
2685,20.53,0.7942,2,1.000,1.00
2695,20.62,0.7976,2,1.000,1.00
2705,20.72,0.8011,2,1.000,1.00
2714,20.81,0.8044,2,1.000,1.00
2723,20.90,0.8078,2,1.000,1.00
2732,20.98,0.8108,2,1.000,1.00
2741,21.07,0.8139,2,1.000,1.00
2750,21.14,0.8167,2,1.000,1.00
2759,21.23,0.8197,2,1.000,1.00
2768,21.30,0.8223,2,1.000,1.00
2776,21.38,0.8252,2,1.000,1.00
2785,21.45,0.8279,2,1.000,1.00
2793,21.52,0.8305,2,1.000,1.00
2801,21.59,0.8330,2,1.000,1.00
2810,21.65,0.8354,2,1.000,1.00
2819,21.73,0.8379,2,1.000,1.00
2828,21.80,0.8403,2,1.000,1.00
2837,21.87,0.8429,2,1.000,1.00
2847,21.95,0.8455,2,1.000,1.00
2856,22.01,0.8479,2,1.000,1.00
2865,22.08,0.8507,2,1.000,1.00
2875,22.15,0.8531,2,1.000,1.00
2884,22.21,0.8554,2,1.000,1.00
2892,22.27,0.8579,2,1.000,1.00
2902,22.34,0.8602,2,1.000,1.00
2910,22.40,0.8623,2,1.000,1.00
2919,22.46,0.8647,2,1.000,1.00
2928,22.52,0.8669,2,1.000,1.00
2936,22.58,0.8690,2,1.000,1.00
2945,22.63,0.8710,2,1.000,1.00
2953,22.69,0.8731,2,1.000,1.00
2962,22.74,0.8751,2,1.000,1.00
2970,22.79,0.8771,2,1.000,1.00
2979,22.85,0.8791,2,1.000,1.00
2988,22.91,0.8810,2,1.000,1.00
2998,22.97,0.8829,2,1.000,1.00
3006,23.02,0.8849,2,1.000,1.00
3015,23.07,0.8871,2,1.000,1.00
3023,23.12,0.8890,2,1.000,1.00
3031,23.17,0.8908,2,1.000,1.00
3040,23.22,0.8927,2,1.000,1.00
3048,23.26,0.8944,2,1.000,1.00
3057,23.31,0.8961,2,1.000,1.00
3065,23.36,0.8979,2,1.000,1.00
3074,23.41,0.8997,2,1.000,1.00
3082,23.45,0.9014,2,1.000,1.00
3091,23.50,0.9032,2,1.000,1.00
3099,23.55,0.9048,2,1.000,1.00
3107,23.59,0.9066,2,1.000,1.00
3116,23.64,0.9083,2,1.000,1.00
3125,23.69,0.9100,2,1.000,1.00
3134,23.74,0.9117,2,1.000,1.00
3142,23.78,0.9135,2,1.000,1.00
3151,23.82,0.9152,2,1.000,1.00
3159,23.87,0.9168,2,1.000,1.00
3169,23.92,0.9184,2,1.000,1.00
3177,23.96,0.5312,3,1.000,1.00
3188,24.02,0.5423,3,1.000,1.00
3197,24.06,0.5506,3,1.000,1.00
3206,24.10,0.5593,3,1.000,1.00
3215,24.14,0.5686,3,1.000,1.00
3224,24.19,0.5777,3,1.000,1.00
3233,24.23,0.5863,3,1.000,1.00
3240,24.26,0.5941,3,1.000,1.00
3250,24.30,0.6036,3,1.000,1.00
3258,24.34,0.6119,3,1.000,1.00
3266,24.38,0.6202,3,1.000,1.00
3275,24.41,0.6284,3,1.000,1.00
3283,24.45,0.6370,3,1.000,1.00
3292,24.49,0.6457,3,1.000,1.00
3300,24.53,0.6541,3,1.000,1.00
3310,24.57,0.6634,3,1.000,1.00
3319,24.61,0.6657,3,1.000,1.00
3328,24.64,0.6668,3,1.000,1.00
3336,24.68,0.6679,3,1.000,1.00
3345,24.72,0.6688,3,1.000,1.00
3354,24.76,0.6698,3,1.000,1.00
3363,24.79,0.6707,3,1.000,1.00
3372,24.83,0.6718,3,1.000,1.00
3380,24.86,0.6727,3,1.000,1.00
3389,24.90,0.6738,3,1.000,1.00
3397,24.93,0.6747,3,1.000,1.00
3406,24.97,0.6756,3,1.000,1.00
3415,25.01,0.6765,3,1.000,1.00
3426,25.05,0.6775,3,1.000,1.00
3434,25.08,0.6785,3,1.000,1.00
3443,25.12,0.6796,3,1.000,1.00
3451,25.15,0.6805,3,1.000,1.00
3460,25.19,0.6815,3,1.000,1.00
3471,25.23,0.6824,3,1.000,1.00
3480,25.27,0.6834,3,1.000,1.00
3490,25.31,0.6844,3,1.000,1.00
3499,25.34,0.6854,3,1.000,1.00
3507,25.38,0.6866,3,1.000,1.00
3517,25.41,0.6875,3,1.000,1.00
3526,25.45,0.6884,3,1.000,1.00
3536,25.49,0.6894,3,1.000,1.00
3544,25.52,0.6903,3,1.000,1.00
3552,25.55,0.6914,3,1.000,1.00
3560,25.58,0.6923,3,1.000,1.00
3568,25.62,0.6932,3,1.000,1.00
3577,25.65,0.6940,3,1.000,1.00
3586,25.69,0.6949,3,1.000,1.00
3594,25.72,0.6958,3,1.000,1.00
3605,25.76,0.6967,3,1.000,1.00
3613,25.79,0.6976,3,1.000,1.00
3621,25.82,0.6987,3,1.000,1.00
3630,25.86,0.6995,3,1.000,1.00
3638,25.89,0.7004,3,1.000,1.00
3646,25.92,0.7013,3,1.000,1.00
3655,25.95,0.7021,3,1.000,1.00
3663,25.99,0.7030,3,1.000,1.00
3672,26.02,0.7039,3,1.000,1.00
3679,26.08,0.7118,3,1.000,1.00
3688,26.16,0.7208,3,1.000,1.00
3698,26.24,0.7227,3,1.000,1.00
3707,26.33,0.7243,3,1.000,1.00
3718,26.44,0.7260,3,1.000,1.00
3730,26.54,0.7277,3,1.000,1.00
3741,26.65,0.7298,3,1.000,1.00
3756,26.78,0.7319,3,1.000,1.00
3766,26.88,0.7340,3,1.000,1.00
3776,26.97,0.7371,3,1.000,1.00
3786,27.07,0.7393,3,1.000,1.00
3796,27.15,0.7411,3,1.000,1.00
3805,27.22,0.7434,3,1.000,1.00
3813,27.29,0.7454,3,1.000,1.00
3823,27.37,0.7471,3,1.000,1.00
3831,27.44,0.7485,3,1.000,1.00
3840,27.50,0.7504,3,1.000,1.00
3848,27.57,0.7518,3,1.000,1.00
3857,27.63,0.7532,3,1.000,1.00
3867,27.70,0.7547,3,1.000,1.00
3876,27.77,0.7562,3,1.000,1.00
3885,27.83,0.7577,3,1.000,1.00
3893,27.89,0.7593,3,1.000,1.00
3901,27.94,0.7607,3,1.000,1.00
3909,28.00,0.7619,3,1.000,1.00
3919,28.06,0.7632,3,1.000,1.00
3928,28.12,0.7644,3,1.000,1.00
3937,28.17,0.7659,3,1.000,1.00
3945,28.22,0.7672,3,1.000,1.00
3954,28.27,0.7685,3,1.000,1.00
3963,28.33,0.7697,3,1.000,1.00
3973,28.39,0.7711,3,1.000,1.00
3982,28.43,0.7724,3,1.000,1.00
3990,28.48,0.7740,3,1.000,1.00
3999,28.53,0.7752,3,1.000,1.00
4007,28.57,0.7764,3,1.000,1.00
4016,28.62,0.7776,3,1.000,1.00
4024,28.66,0.7788,3,1.000,1.00
4032,28.70,0.7799,3,1.000,1.00
4041,28.75,0.7809,3,1.000,1.00
4050,28.80,0.7819,3,1.000,1.00
4058,28.84,0.7830,3,1.000,1.00
4067,28.89,0.7840,3,1.000,1.00
4075,28.93,0.7850,3,1.000,1.00
4084,28.97,0.7860,3,1.000,1.00
4092,29.01,0.7849,3,1.000,1.00
4101,29.06,0.7884,3,1.000,1.00
4110,29.08,0.7893,3,1.000,1.00
4118,29.12,0.7884,3,1.000,1.00
4127,29.16,0.7911,3,1.000,1.00
4135,29.21,0.7920,3,1.000,1.00
4144,29.25,0.7931,3,1.000,1.00
4153,29.29,0.7941,3,1.000,1.00
4162,29.33,0.7951,3,1.000,1.00
4170,29.38,0.7960,3,1.000,1.00
4179,29.42,0.7969,3,1.000,1.00
4188,29.46,0.7978,3,1.000,1.00
4196,29.50,0.7987,3,1.000,1.00
4205,29.53,0.7997,3,1.000,1.00
4214,29.57,0.8005,3,1.000,1.00
4225,29.62,0.8013,3,1.000,1.00
4233,29.65,0.8022,3,1.000,1.00
4242,29.69,0.8037,3,1.000,1.00
4250,29.72,0.8047,3,1.000,1.00
4259,29.75,0.8056,3,1.000,1.00
4268,29.78,0.8065,3,1.000,1.00
4277,29.82,0.8074,3,1.000,1.00
4286,29.85,0.8083,3,1.000,1.00
4294,29.89,0.8092,3,1.000,1.00
4303,29.92,0.8102,3,1.000,1.00
4311,29.95,0.8111,3,1.000,1.00
4320,29.98,0.8120,3,1.000,1.00
4328,30.02,0.8129,3,1.000,1.00
4337,30.05,0.8138,3,1.000,1.00
4345,30.08,0.8148,3,1.000,1.00
4353,30.11,0.8157,3,1.000,1.00
4363,30.15,0.8166,3,1.000,1.00
4371,30.18,0.8174,3,1.000,1.00
4380,30.21,0.8185,3,1.000,1.00
4388,30.25,0.8195,3,1.000,1.00
4396,30.28,0.8204,3,1.000,1.00
4405,30.31,0.8212,3,1.000,1.00
4415,30.35,0.8221,3,1.000,1.00
4425,30.39,0.8231,3,1.000,1.00
4434,30.42,0.8241,3,1.000,1.00
4443,30.45,0.8252,3,1.000,1.00
4452,30.49,0.8260,3,1.000,1.00
4461,30.52,0.8269,3,1.000,1.00
4470,30.56,0.8278,3,1.000,1.00
4480,30.59,0.8286,3,1.000,1.00
4491,30.63,0.8294,3,1.000,1.00
4500,30.66,0.8303,3,1.000,1.00
4509,30.70,0.8313,3,1.000,1.00
4519,30.73,0.8321,3,1.000,1.00
4527,30.76,0.8330,3,1.000,1.00
4537,30.80,0.8339,3,1.000,1.00
4546,30.83,0.8346,3,1.000,1.00
4555,30.87,0.8355,3,1.000,1.00
4564,30.90,0.8363,3,1.000,1.00
4572,30.93,0.8371,3,1.000,1.00
4581,30.96,0.8377,3,1.000,1.00
4589,30.99,0.8382,3,1.000,1.00
4598,31.02,0.8389,3,1.000,1.00
4606,31.05,0.8394,3,1.000,1.00
4615,31.08,0.8401,3,1.000,1.00
4624,31.11,0.8406,3,1.000,1.00
4632,31.14,0.8413,3,1.000,1.00
4641,31.16,0.8427,3,1.000,1.00
4650,31.19,0.8451,3,1.000,1.00
4658,31.22,0.8464,3,1.000,1.00
4667,31.25,0.8473,3,1.000,1.00
4676,31.28,0.8481,3,1.000,1.00
4684,31.31,0.8490,3,1.000,1.00
4693,31.34,0.8499,3,1.000,1.00
4702,31.37,0.8507,3,1.000,1.00
4709,31.40,0.8516,3,1.000,1.00
4718,31.44,0.8526,3,1.000,1.00
4727,31.47,0.8534,3,1.000,1.00
4734,31.50,0.8543,3,1.000,1.00
4742,31.53,0.8552,3,1.000,1.00
4750,31.56,0.8561,3,1.000,1.00
4758,31.59,0.8569,3,1.000,1.00
4767,31.63,0.8577,3,1.000,1.00
4778,31.67,0.8587,3,1.000,1.00
4786,31.70,0.8598,3,1.000,1.00
4795,31.73,0.8611,3,1.000,1.00
4804,31.76,0.8621,3,1.000,1.00
4813,31.80,0.8632,3,1.000,1.00
4826,31.84,0.8644,3,1.000,1.00
4836,31.88,0.8655,3,1.000,1.00
4845,31.92,0.8669,3,1.000,1.00
4855,31.96,0.8680,3,1.000,1.00
4864,32.00,0.8689,3,1.000,1.00
4874,32.04,0.8698,3,1.000,1.00
4884,32.08,0.8708,3,1.000,1.00
4895,32.13,0.8717,3,1.000,1.00
4905,32.17,0.8727,3,1.000,1.00
4916,32.22,0.8736,3,1.000,1.00
4927,32.26,0.8745,3,1.000,1.00
4935,32.30,0.8755,3,1.000,1.00
4944,32.34,0.8763,3,1.000,1.00
4953,32.38,0.8771,3,1.000,1.00
4963,32.42,0.8778,3,1.000,1.00
4972,32.45,0.8785,3,1.000,1.00
4981,32.48,0.8793,3,1.000,1.00
4990,32.52,0.8801,3,1.000,1.00
4998,32.55,0.8808,3,1.000,1.00
5007,32.58,0.8814,3,1.000,1.00
5016,32.60,0.8821,3,1.000,1.00
5024,32.63,0.8827,3,1.000,1.00
5033,32.66,0.8833,3,1.000,1.00
5042,32.68,0.8839,3,1.000,1.00
5051,32.71,0.8845,3,1.000,1.00
5060,32.74,0.8851,3,1.000,1.00
5068,32.76,0.8857,3,1.000,1.00
5076,32.79,0.8863,3,1.000,1.00
5085,32.81,0.8869,3,1.000,1.00
5094,32.83,0.8874,3,1.000,1.00
5102,32.85,0.8880,3,1.000,1.00
5111,32.88,0.8885,3,1.000,1.00
5118,32.90,0.8891,3,1.000,1.00
5129,32.93,0.8897,3,1.000,1.00
5139,32.95,0.8902,3,1.000,1.00
5147,32.97,0.8909,3,1.000,1.00
5156,32.99,0.8916,3,1.000,1.00
5164,33.01,0.8922,3,1.000,1.00
5172,33.04,0.8927,3,1.000,1.00
5181,33.06,0.8933,3,1.000,1.00
5189,33.08,0.8938,3,1.000,1.00
5198,33.10,0.8944,3,1.000,1.00
5207,33.12,0.8950,3,1.000,1.00
5216,33.15,0.8956,3,1.000,1.00
5225,33.17,0.8962,3,1.000,1.00
5233,33.19,0.8968,3,1.000,1.00
5243,33.21,0.8974,3,1.000,1.00
5251,33.23,0.8980,3,1.000,1.00
5260,33.26,0.8986,3,1.000,1.00
5269,33.28,0.8992,3,1.000,1.00
5278,33.30,0.8998,3,1.000,1.00
5287,33.32,0.9004,3,1.000,1.00
5295,33.34,0.9011,3,1.000,1.00
5303,33.36,0.9017,3,1.000,1.00
5312,33.38,0.9022,3,1.000,1.00
5320,33.40,0.9028,3,1.000,1.00
5328,33.42,0.9034,3,1.000,1.00
5336,33.44,0.9039,3,1.000,1.00
5345,33.46,0.9045,3,1.000,1.00
5353,33.48,0.9050,3,1.000,1.00
5362,33.51,0.9056,3,1.000,1.00
5370,33.53,0.9062,3,1.000,1.00
5379,33.55,0.9068,3,1.000,1.00
5388,33.57,0.9073,3,1.000,1.00
5396,33.59,0.9079,3,1.000,1.00
5404,33.61,0.9085,3,1.000,1.00
5413,33.63,0.9090,3,1.000,1.00
5421,33.65,0.9096,3,1.000,1.00
5430,33.67,0.9101,3,1.000,1.00
5439,33.69,0.9106,3,1.000,1.00
5447,33.71,0.9112,3,1.000,1.00
5456,33.74,0.9118,3,1.000,1.00
5465,33.76,0.9123,3,1.000,1.00
5474,33.78,0.9129,3,1.000,1.00
5484,33.80,0.9134,3,1.000,1.00
5493,33.82,0.9140,3,1.000,1.00
5502,33.84,0.9146,3,1.000,1.00
5511,33.86,0.9151,3,1.000,1.00
5519,33.88,0.9157,3,1.000,1.00
5527,33.90,0.9162,3,1.000,1.00
5536,33.92,0.9167,3,1.000,1.00
5544,33.94,0.9173,3,1.000,1.00
5552,33.96,0.9178,3,1.000,1.00
5560,33.98,0.9183,3,1.000,1.00
5569,34.00,0.9188,3,1.000,1.00
5576,34.02,0.9192,3,1.000,1.00
5584,34.03,0.9198,3,1.000,1.00
5592,34.05,0.6493,4,1.000,1.00
5602,34.08,0.6597,4,1.000,1.00
5611,34.09,0.6684,4,1.000,1.00
5620,34.11,0.6771,4,1.000,1.00
5628,34.13,0.6854,4,1.000,1.00
5637,34.15,0.6939,4,1.000,1.00
5645,34.17,0.7025,4,1.000,1.00
5653,34.19,0.7105,4,1.000,1.00
5661,34.21,0.7174,4,1.000,1.00
5670,34.22,0.7178,4,1.000,1.00
5678,34.24,0.7182,4,1.000,1.00
5686,34.26,0.7185,4,1.000,1.00
5695,34.28,0.7189,4,1.000,1.00
5704,34.30,0.7193,4,1.000,1.00
5712,34.32,0.7197,4,1.000,1.00
5722,34.34,0.7201,4,1.000,1.00
5730,34.36,0.7205,4,1.000,1.00
5738,34.37,0.7209,4,1.000,1.00
