ms,speed,rpm,gear,throttle,mult
9,0.09,0.2000,1,0.000,1.00
18,0.18,0.2000,1,1.000,1.00
27,0.26,0.2085,1,1.000,1.00
34,0.34,0.2165,1,1.000,1.00
43,0.42,0.2250,1,1.000,1.00
54,0.53,0.2358,1,1.000,1.00
64,0.63,0.2459,1,1.000,1.00
74,0.72,0.2556,1,1.000,1.00
83,0.82,0.2651,1,1.000,1.00
93,0.92,0.2751,1,1.000,1.00
101,1.00,0.2833,1,1.000,1.00
110,1.08,0.2917,1,1.000,1.00
119,1.17,0.3009,1,1.000,1.00
128,1.25,0.3096,1,1.000,1.00
136,1.34,0.3182,1,1.000,1.00
144,1.42,0.3264,1,1.000,1.00
152,1.47,0.3345,1,1.000,1.00
163,1.50,0.3451,1,1.000,1.00
174,1.50,0.3557,1,1.000,1.00
182,1.49,0.3645,1,1.000,1.00
191,1.47,0.3731,1,1.000,1.00
199,1.44,0.3815,1,1.000,1.00
208,1.41,0.3898,1,1.000,1.00
217,1.37,0.3986,1,1.000,1.00
226,1.32,0.4080,1,1.000,1.00
235,1.27,0.4165,1,1.000,1.00
244,1.21,0.4256,1,1.000,1.00
252,1.16,0.4338,1,1.000,1.00
260,1.10,0.4420,1,1.000,1.00
269,1.05,0.4509,1,1.000,1.00
278,0.99,0.4598,1,1.000,1.00
286,0.95,0.4682,1,1.000,1.00
295,0.91,0.4767,1,1.000,1.00
303,0.88,0.4847,1,1.000,1.00
311,0.87,0.4932,1,1.000,1.00
319,0.87,0.5011,1,1.000,1.00
328,0.88,0.5098,1,1.000,1.00
337,0.89,0.5191,1,1.000,1.00
346,0.94,0.5279,1,1.000,1.00
354,0.99,0.5358,1,1.000,1.00
363,1.05,0.5447,1,1.000,1.00
372,1.10,0.5537,1,1.000,1.00
380,1.15,0.5622,1,1.000,1.00
388,1.20,0.5704,1,1.000,1.00
397,1.25,0.5786,1,1.000,1.00
405,1.30,0.5874,1,1.000,1.00
415,1.35,0.5915,1,1.000,1.00
424,1.39,0.5935,1,1.000,1.00
436,1.45,0.5953,1,1.000,1.00
445,1.47,0.5978,1,1.000,1.00
453,1.51,0.5996,1,1.000,1.00
462,1.54,0.6013,1,1.000,1.00
471,1.57,0.6032,1,1.000,1.00
479,1.60,0.6049,1,1.000,1.00
487,1.63,0.6066,1,1.000,1.00
496,1.66,0.6084,1,1.000,1.00
505,1.69,0.6101,1,1.000,1.00
514,1.72,0.6121,1,1.000,1.00
523,1.75,0.6139,1,1.000,1.00
532,1.78,0.6158,1,1.000,1.00
541,1.81,0.6177,1,1.000,1.00
551,1.84,0.6195,1,1.000,1.00
560,1.87,0.6215,1,1.000,1.00
568,1.90,0.6233,1,1.000,1.00
577,1.93,0.6251,1,1.000,1.00
585,1.96,0.6268,1,1.000,1.00
593,1.99,0.6286,1,1.000,1.00
601,2.02,0.6302,1,1.000,1.00
611,2.05,0.6319,1,1.000,1.00
619,2.08,0.6339,1,1.000,1.00
626,2.11,0.6355,1,1.000,1.00
634,2.14,0.6371,1,1.000,1.00
643,2.18,0.6387,1,1.000,1.00
651,2.21,0.6405,1,1.000,1.00
660,2.25,0.6422,1,1.000,1.00
668,2.29,0.6440,1,1.000,1.00
677,2.32,0.6457,1,1.000,1.00
685,2.36,0.6475,1,1.000,1.00
694,2.40,0.6493,1,1.000,1.00
702,2.44,0.6510,1,1.000,1.00
711,2.48,0.6528,1,1.000,1.00
721,2.53,0.6546,1,1.000,1.00
730,2.57,0.6566,1,1.000,1.00
738,2.62,0.6584,1,1.000,1.00
747,2.67,0.6601,1,1.000,1.00
757,2.71,0.6620,1,1.000,1.00
766,2.76,0.6640,1,1.000,1.00
774,2.81,0.6658,1,1.000,1.00
783,2.86,0.6677,1,1.000,1.00
791,2.91,0.6694,1,1.000,1.00
800,2.95,0.6712,1,1.000,1.00
809,3.01,0.6729,1,1.000,1.00
821,3.08,0.6749,1,1.000,1.00
832,3.14,0.6774,1,1.000,1.00
844,3.21,0.6795,1,1.000,1.00
855,3.28,0.6820,1,1.000,1.00
864,3.34,0.6843,1,1.000,1.00
875,3.40,0.6862,1,1.000,1.00
884,3.46,0.6883,1,1.000,1.00
893,3.52,0.6903,1,1.000,1.00
901,3.57,0.6921,1,1.000,1.00
909,3.63,0.6938,1,1.000,1.00
919,3.69,0.6955,1,1.000,1.00
928,3.75,0.6975,1,1.000,1.00
938,3.82,0.6994,1,1.000,1.00
946,3.87,0.7013,1,1.000,1.00
955,3.94,0.7031,1,1.000,1.00
964,4.00,0.7050,1,1.000,1.00
976,4.08,0.7067,1,1.000,1.00
986,4.15,0.7093,1,1.000,1.00
995,4.22,0.7112,1,1.000,1.00
1005,4.29,0.7132,1,1.000,1.00
1016,4.38,0.7152,1,1.000,1.00
1027,4.46,0.7175,1,1.000,1.00
1040,4.56,0.7198,1,1.000,1.00
1051,4.64,0.7226,1,1.000,1.00
1061,4.72,0.7248,1,1.000,1.00
1070,4.79,0.7268,1,1.000,1.00
1079,4.86,0.7286,1,1.000,1.00
1088,4.94,0.7306,1,1.000,1.00
1097,5.00,0.7325,1,1.000,1.00
1105,5.07,0.7342,1,1.000,1.00
1114,5.15,0.7359,1,1.000,1.00
1122,5.22,0.7378,1,1.000,1.00
1130,5.29,0.7394,1,1.000,1.00
1139,5.36,0.7412,1,1.000,1.00
1148,5.44,0.7429,1,1.000,1.00
1157,5.52,0.7448,1,1.000,1.00
1166,5.60,0.7466,1,1.000,1.00
1176,5.69,0.7484,1,1.000,1.00
1185,5.78,0.7506,1,1.000,1.00
1195,5.86,0.7525,1,1.000,1.00
1205,5.96,0.7544,1,1.000,1.00
1214,6.05,0.7565,1,1.000,1.00
1224,6.14,0.7585,1,1.000,1.00
1234,6.24,0.7604,1,1.000,1.00
1245,6.36,0.7625,1,1.000,1.00
1255,6.45,0.7649,1,1.000,1.00
1264,6.54,0.7668,1,1.000,1.00
1273,6.64,0.7687,1,1.000,1.00
1283,6.75,0.7705,1,1.000,1.00
1292,6.84,0.7727,1,1.000,1.00
1301,6.94,0.7745,1,1.000,1.00
1311,7.05,0.7845,1,1.000,1.00
1320,7.15,0.7878,1,1.000,1.00
1329,7.26,0.7913,1,1.000,1.00
1339,7.36,0.7946,1,1.000,1.00
1349,7.48,0.7977,1,1.000,1.00
1357,7.58,0.8011,1,1.000,1.00
1367,7.70,0.8106,1,1.000,1.00
1376,7.81,0.8187,1,1.000,1.00
1385,7.91,0.8221,1,1.000,1.00
1394,8.02,0.8255,1,1.000,1.00
1403,8.14,0.8287,1,1.000,1.00
1415,8.29,0.8319,1,1.000,1.00
1423,8.41,0.8354,1,1.000,1.00
1432,8.52,0.8398,1,1.000,1.00
1442,8.65,0.8437,1,1.000,1.00
1451,8.77,0.8471,2,1.000,1.00
1462,8.92,0.8362,2,1.000,1.73
1470,9.02,0.8282,2,1.000,1.72
1479,9.14,0.8192,2,1.000,1.70
1487,9.26,0.8107,2,1.000,1.69
1496,9.38,0.8021,2,1.000,1.68
1504,9.49,0.7938,2,1.000,1.66
1513,9.62,0.7848,2,1.000,1.65
1523,9.75,0.7754,2,1.000,1.63
1532,9.89,0.7664,2,1.000,1.62
1543,10.06,0.7548,2,1.000,1.60
1553,10.21,0.7451,2,1.000,1.58
1562,10.35,0.7442,2,1.000,1.57
1571,10.49,0.7520,2,1.000,1.55
1581,10.65,0.7596,2,1.000,1.53
1590,10.78,0.7674,2,1.000,1.52
1599,10.93,0.7750,2,1.000,1.50
1608,11.08,0.7823,2,1.000,1.49
1617,11.22,0.7898,2,1.000,1.47
1626,11.36,0.7972,2,1.000,1.46
1635,11.51,0.8044,2,1.000,1.44
1644,11.65,0.8116,2,1.000,1.43
1652,11.79,0.8186,2,1.000,1.42
1662,11.95,0.8253,2,1.000,1.40
1671,12.11,0.8323,2,1.000,1.38
1681,12.26,0.8398,2,1.000,1.37
1689,12.41,0.8471,2,1.000,1.35
1698,12.55,0.8539,2,1.000,1.34
1706,12.70,0.8604,2,1.000,1.33
1716,12.87,0.8667,2,1.000,1.31
1724,13.01,0.8734,2,1.000,1.30
1734,13.17,0.8803,2,1.000,1.28
1743,13.34,0.8867,2,1.000,1.26
1753,13.51,0.8934,2,1.000,1.25
1761,13.66,0.8988,2,1.000,1.23
1770,13.82,0.9029,2,1.000,1.22
1780,14.00,0.9066,2,1.000,1.20
1790,14.17,0.9104,2,1.000,1.19
1800,14.36,0.9148,2,1.000,1.17
1810,14.53,0.9190,2,1.000,1.15
1820,14.70,0.9234,2,1.000,1.14
1831,14.90,0.9276,2,1.000,1.12
1841,15.09,0.9318,2,1.000,1.10
1851,15.26,0.9366,2,1.000,1.08
1860,15.42,0.9413,2,1.000,1.07
1869,15.59,0.9454,2,1.000,1.05
1878,15.77,0.9494,2,1.000,1.04
1887,15.93,0.9535,2,1.000,1.02
1896,16.09,0.9578,2,1.000,1.01
1906,16.28,0.9617,2,1.000,1.00
1915,16.45,0.9657,2,1.000,1.00
1924,16.62,0.9702,2,1.000,1.00
1933,16.78,0.9617,2,1.000,1.00
1942,16.95,0.9525,2,1.000,1.00
1954,17.18,0.9404,2,1.000,1.00
1964,17.38,0.9303,2,1.000,1.00
1975,17.58,0.9198,2,1.000,1.00
1984,17.76,0.9203,2,1.000,1.00
1993,17.93,0.9290,2,1.000,1.00
2003,18.13,0.9376,2,1.000,1.00
2012,18.31,0.9451,2,1.000,1.00
2021,18.50,0.9542,2,1.000,1.00
2030,18.67,0.9626,2,1.000,1.00
2039,18.85,0.9709,2,1.000,1.00
2051,19.10,0.7533,3,1.000,1.00
2065,19.39,0.7594,3,1.000,2.40
2077,19.64,0.7681,3,1.000,2.37
2089,19.90,0.7804,3,1.000,2.33
2103,20.21,0.7904,3,1.000,2.28
2116,20.48,0.8006,3,1.000,2.24
2131,20.80,0.8122,3,1.000,2.19
2143,21.05,0.8224,3,1.000,2.15
2156,21.33,0.8349,3,1.000,2.11
2167,21.57,0.8444,3,1.000,2.08
2179,21.80,0.8548,3,1.000,2.04
2189,22.01,0.8638,3,1.000,2.01
2201,22.23,0.8725,3,1.000,1.97
2210,22.41,0.8802,3,1.000,1.94
2220,22.58,0.8886,3,1.000,1.91
2229,22.76,0.8953,3,1.000,1.88
2239,22.93,0.9019,3,1.000,1.84
2249,23.09,0.9084,3,1.000,1.81
2258,23.24,0.9146,3,1.000,1.78
2266,23.38,0.9208,3,1.000,1.76
2275,23.52,0.9263,3,1.000,1.73
2284,23.66,0.9315,3,1.000,1.70
2294,23.80,0.9365,3,1.000,1.67
2302,23.93,0.9416,3,1.000,1.64
2312,24.07,0.9469,3,1.000,1.61
2322,24.21,0.9515,3,1.000,1.58
2331,24.33,0.9566,3,1.000,1.55
2341,24.47,0.9617,3,1.000,1.52
2350,24.58,0.9529,3,1.000,1.49
2359,24.70,0.9436,3,1.000,1.46
2369,24.82,0.9339,3,1.000,1.43
2382,24.96,0.9214,3,1.000,1.38
2396,25.12,0.9074,3,1.000,1.34
2410,25.27,0.8934,3,1.000,1.29
2421,25.39,0.8822,3,1.000,1.26
2430,25.49,0.8727,3,1.000,1.23
2439,25.58,0.8636,3,1.000,1.20
2449,25.68,0.8541,3,1.000,1.17
2458,25.76,0.8452,3,1.000,1.14
2468,25.85,0.8355,3,1.000,1.11
2477,25.94,0.8262,3,1.000,1.08
2486,26.02,0.8168,3,1.000,1.05
2495,26.10,0.8077,3,1.000,1.02
2504,26.18,0.7986,3,1.000,1.00
2513,26.25,0.7926,3,1.000,1.00
2523,26.33,0.7947,3,1.000,1.00
2532,26.40,0.7968,3,1.000,1.00
2541,26.47,0.7989,3,1.000,1.00
2550,26.54,0.8009,3,1.000,1.00
2559,26.60,0.8029,3,1.000,1.00
2567,26.66,0.8047,3,1.000,1.00
2577,26.73,0.8066,3,1.000,1.00
2586,26.80,0.8082,3,1.000,1.00
2596,26.86,0.8102,3,1.000,1.00
2605,26.92,0.8120,3,1.000,1.00
2615,26.99,0.8139,3,1.000,1.00
2624,27.05,0.8155,3,1.000,1.00
2633,27.11,0.8174,3,1.000,1.00
2643,27.17,0.8191,3,1.000,1.00
2651,27.22,0.8208,3,1.000,1.00
2660,27.27,0.8224,3,1.000,1.00
2669,27.33,0.8240,3,1.000,1.00
2679,27.38,0.8255,3,1.000,1.00
2688,27.44,0.8270,3,1.000,1.00
2697,27.49,0.8286,3,1.000,1.00
2706,27.54,0.8302,3,1.000,1.00
2718,27.61,0.8316,3,1.000,1.00
2727,27.65,0.8330,3,1.000,1.00
2737,27.71,0.8349,3,1.000,1.00
2746,27.76,0.8363,3,1.000,1.00
2759,27.82,0.8378,3,1.000,1.00
2769,27.87,0.8392,3,1.000,1.00
2778,27.91,0.8411,3,1.000,1.00
2786,27.96,0.8425,3,1.000,1.00
2796,28.00,0.8438,3,1.000,1.00
2805,28.05,0.8450,3,1.000,1.00
2815,28.09,0.8464,3,1.000,1.00
2824,28.14,0.8476,3,1.000,1.00
2834,28.18,0.8490,3,1.000,1.00
2843,28.23,0.8503,3,1.000,1.00
2853,28.27,0.8516,3,1.000,1.00
2862,28.31,0.8528,3,1.000,1.00
2872,28.36,0.8541,3,1.000,1.00
2881,28.40,0.8554,3,1.000,1.00
2889,28.43,0.8565,3,1.000,1.00
2899,28.47,0.8577,3,1.000,1.00
2908,28.51,0.8588,3,1.000,1.00
2917,28.55,0.8600,3,1.000,1.00
2925,28.59,0.8612,3,1.000,1.00
2934,28.63,0.8623,3,1.000,1.00
2943,28.66,0.8633,3,1.000,1.00
2952,28.70,0.8644,3,1.000,1.00
2961,28.74,0.8655,3,1.000,1.00
2970,28.77,0.8666,3,1.000,1.00
2979,28.81,0.8676,3,1.000,1.00
2989,28.85,0.8686,3,1.000,1.00
2998,28.88,0.8698,3,1.000,1.00
3007,28.92,0.8710,3,1.000,1.00
3016,28.96,0.8720,3,1.000,1.00
3024,28.99,0.8732,3,1.000,1.00
3033,29.03,0.8742,3,1.000,1.00
3042,29.06,0.8752,3,1.000,1.00
3052,29.10,0.8762,3,1.000,1.00
3061,29.14,0.8773,3,1.000,1.00
3070,29.17,0.8784,3,1.000,1.00
3079,29.20,0.8795,3,1.000,1.00
3088,29.24,0.8804,3,1.000,1.00
3097,29.27,0.8815,3,1.000,1.00
3106,29.31,0.8825,3,1.000,1.00
3116,29.34,0.8835,3,1.000,1.00
3125,29.37,0.8845,3,1.000,1.00
3134,29.41,0.8855,3,1.000,1.00
3142,29.44,0.8854,3,1.000,1.00
3150,29.47,0.8875,3,1.000,1.00
3159,29.50,0.8884,3,1.000,1.00
3167,29.53,0.8892,3,1.000,1.00
3177,29.56,0.8901,3,1.000,1.00
3186,29.59,0.8910,3,1.000,1.00
3194,29.62,0.8919,3,1.000,1.00
3203,29.65,0.8928,3,1.000,1.00
3213,29.69,0.8937,3,1.000,1.00
3222,29.72,0.8946,3,1.000,1.00
3233,29.75,0.8956,3,1.000,1.00
3242,29.79,0.8965,3,1.000,1.00
3252,29.82,0.8976,3,1.000,1.00
3261,29.85,0.8985,3,1.000,1.00
3274,29.89,0.8995,3,1.000,1.00
3283,29.92,0.9003,3,1.000,1.00
3292,29.95,0.9017,3,1.000,1.00
3300,29.98,0.9025,3,1.000,1.00
3312,30.01,0.9033,3,1.000,1.00
3321,30.04,0.9041,3,1.000,1.00
3330,30.07,0.9051,3,1.000,1.00
3341,30.11,0.9060,3,1.000,1.00
3351,30.14,0.9068,3,1.000,1.00
3360,30.17,0.9078,3,1.000,1.00
3369,30.19,0.9087,3,1.000,1.00
3378,30.22,0.9096,3,1.000,1.00
3386,30.25,0.9104,3,1.000,1.00
3396,30.27,0.9112,3,1.000,1.00
3404,30.30,0.9120,3,1.000,1.00
3413,30.33,0.9128,3,1.000,1.00
3422,30.35,0.9136,3,1.000,1.00
3430,30.38,0.9144,3,1.000,1.00
3439,30.40,0.9140,3,1.000,1.00
3447,30.43,0.9160,3,1.000,1.00
3456,30.46,0.9168,3,1.000,1.00
3465,30.48,0.9176,3,1.000,1.00
3475,30.51,0.9184,3,1.000,1.00
3483,30.54,0.9193,3,1.000,1.00
3492,30.56,0.9202,3,1.000,1.00
3501,30.59,0.9210,3,1.000,1.00
3511,30.62,0.9218,3,1.000,1.00
3522,30.66,0.9227,3,1.000,1.00
3534,30.69,0.9238,3,1.000,1.00
3546,30.72,0.9248,3,1.000,1.00
3558,30.76,0.9259,3,1.000,1.00
3570,30.80,0.9270,3,1.000,1.00
3581,30.85,0.9298,3,1.000,1.00
3591,30.89,0.9313,3,1.000,1.00
3600,30.93,0.9327,3,1.000,1.00
3609,30.97,0.9338,3,1.000,1.00
3620,31.02,0.9350,3,1.000,1.00
3629,31.06,0.9361,3,1.000,1.00
3638,31.09,0.7214,4,1.000,1.00
3649,31.14,0.7331,4,1.000,2.41
3658,31.22,0.7416,4,1.000,2.39
3667,31.29,0.7506,4,1.000,2.36
3676,31.36,0.7593,4,1.000,2.33
3684,31.43,0.7507,4,1.000,2.30
3693,31.50,0.7420,4,1.000,2.27
3701,31.57,0.7348,4,1.000,2.25
3710,31.64,0.7363,4,1.000,2.22
3718,31.70,0.7378,4,1.000,2.19
3727,31.77,0.7394,4,1.000,2.16
3735,31.84,0.7408,4,1.000,2.14
3744,31.91,0.7423,4,1.000,2.11
3753,31.98,0.7438,4,1.000,2.08
3763,32.05,0.7454,4,1.000,2.05
3772,32.11,0.7470,4,1.000,2.02
3780,32.17,0.7487,4,1.000,1.99
3789,32.23,0.7502,4,1.000,1.96
3797,32.30,0.7517,4,1.000,1.94
3806,32.36,0.7530,4,1.000,1.91
3814,32.42,0.7545,4,1.000,1.88
3823,32.48,0.7559,4,1.000,1.85
3834,32.56,0.7560,4,1.000,1.82
3844,32.63,0.7585,4,1.000,1.79
3853,32.70,0.7603,4,1.000,1.76
3863,32.76,0.7619,4,1.000,1.73
3871,32.82,0.7634,4,1.000,1.70
3880,32.88,0.7649,4,1.000,1.67
3889,32.94,0.7663,4,1.000,1.64
3897,33.00,0.7677,4,1.000,1.62
3906,33.06,0.7691,4,1.000,1.59
3915,33.12,0.7705,4,1.000,1.56
3923,33.18,0.7717,4,1.000,1.53
3933,33.24,0.7731,4,1.000,1.50
3942,33.30,0.7743,4,1.000,1.47
3950,33.35,0.7757,4,1.000,1.44
3958,33.40,0.7770,4,1.000,1.42
3967,33.46,0.7781,4,1.000,1.39
3976,33.51,0.7792,4,1.000,1.36
3984,33.57,0.7803,4,1.000,1.34
3993,33.62,0.7815,4,1.000,1.31
4001,33.66,0.7826,4,1.000,1.28
4009,33.71,0.7836,4,1.000,1.25
4018,33.76,0.7846,4,1.000,1.23
4026,33.81,0.7856,4,1.000,1.20
4035,33.86,0.7866,4,1.000,1.17
4043,33.90,0.7876,4,1.000,1.15
4052,33.94,0.7886,4,1.000,1.12
4060,33.98,0.7896,4,1.000,1.09
4068,34.02,0.7905,4,1.000,1.06
4077,34.06,0.7912,4,1.000,1.04
4086,34.10,0.7919,4,1.000,1.01
4095,34.14,0.7926,4,1.000,1.00
4104,34.18,0.7934,4,1.000,1.00
4113,34.22,0.7941,4,1.000,1.00
4122,34.26,0.7948,4,1.000,1.00
4131,34.30,0.7956,4,1.000,1.00
4140,34.33,0.7963,4,1.000,1.00
4149,34.36,0.7972,4,1.000,1.00
4158,34.39,0.7980,4,1.000,1.00
4166,34.42,0.7988,4,1.000,1.00
4175,34.45,0.7995,4,1.000,1.00
4183,34.48,0.8001,4,1.000,1.00
4192,34.51,0.8009,4,1.000,1.00
4200,34.54,0.8016,4,1.000,1.00
4208,34.57,0.8023,4,1.000,1.00
4219,34.61,0.8030,4,1.000,1.00
4227,34.64,0.8037,4,1.000,1.00
4235,34.67,0.8046,4,1.000,1.00
4244,34.71,0.8053,4,1.000,1.00
4252,34.74,0.8061,4,1.000,1.00
4262,34.77,0.8070,4,1.000,1.00
4270,34.81,0.8078,4,1.000,1.00
4279,34.84,0.8088,4,1.000,1.00
4287,34.87,0.8096,4,1.000,1.00
4297,34.91,0.8105,4,1.000,1.00
4305,34.94,0.8113,4,1.000,1.00
4314,34.97,0.8122,4,1.000,1.00
4323,35.01,0.8130,4,1.000,1.00
4331,35.04,0.8137,4,1.000,1.00
4340,35.07,0.8144,4,1.000,1.00
4349,35.11,0.8151,4,1.000,1.00
4360,35.15,0.8158,4,1.000,1.00
4369,35.19,0.8166,4,1.000,1.00
4380,35.23,0.8175,4,1.000,1.00
4392,35.27,0.8181,4,1.000,1.00
4402,35.31,0.8189,4,1.000,1.00
4415,35.36,0.8198,4,1.000,1.00
4426,35.40,0.8205,4,1.000,1.00
4435,35.43,0.8214,4,1.000,1.00
4444,35.46,0.8221,4,1.000,1.00
4452,35.49,0.8227,4,1.000,1.00
4462,35.53,0.8233,4,1.000,1.00
4471,35.55,0.8239,4,1.000,1.00
4480,35.58,0.8245,4,1.000,1.00
4489,35.61,0.8251,4,1.000,1.00
4498,35.63,0.8256,4,1.000,1.00
4507,35.66,0.8262,4,1.000,1.00
4516,35.68,0.8267,4,1.000,1.00
4525,35.70,0.8271,4,1.000,1.00
4533,35.72,0.8276,4,1.000,1.00
4542,35.75,0.8281,4,1.000,1.00
4550,35.77,0.8286,4,1.000,1.00
4559,35.79,0.8290,4,1.000,1.00
4568,35.81,0.8295,4,1.000,1.00
4577,35.83,0.8300,4,1.000,1.00
4585,35.85,0.8304,4,1.000,1.00
4594,35.87,0.8309,4,1.000,1.00
4603,35.89,0.8313,4,1.000,1.00
4612,35.91,0.8317,4,1.000,1.00
4621,35.93,0.8322,4,1.000,1.00
4631,35.95,0.8327,4,1.000,1.00
4642,35.97,0.8331,4,1.000,1.00
4656,36.00,0.8337,4,1.000,1.00
4667,36.03,0.8342,4,1.000,1.00
4677,36.05,0.8349,4,1.000,1.00
4687,36.07,0.8355,4,1.000,1.00
4696,36.09,0.8360,4,1.000,1.00
4705,36.11,0.8365,4,1.000,1.00
4715,36.13,0.8370,4,1.000,1.00
4724,36.15,0.8374,4,1.000,1.00
4732,36.17,0.8379,4,1.000,1.00
4741,36.19,0.8384,4,1.000,1.00
4752,36.21,0.8388,4,1.000,1.00
4760,36.23,0.8393,4,1.000,1.00
4769,36.25,0.8398,4,1.000,1.00
4778,36.27,0.8402,4,1.000,1.00
4788,36.29,0.8407,4,1.000,1.00
4796,36.31,0.8411,4,1.000,1.00
4805,36.32,0.8416,4,1.000,1.00
4814,36.34,0.8420,4,1.000,1.00
4823,36.36,0.8425,4,1.000,1.00
4833,36.38,0.8429,4,1.000,1.00
4843,36.40,0.8434,4,1.000,1.00
4853,36.43,0.8434,4,1.000,1.00
4864,36.45,0.8444,4,1.000,1.00
4873,36.47,0.8449,4,1.000,1.00
4883,36.49,0.8454,4,1.000,1.00
4893,36.51,0.8459,4,1.000,1.00
4901,36.53,0.8463,4,1.000,1.00
4910,36.55,0.8468,4,1.000,1.00
4919,36.57,0.8472,4,1.000,1.00
4931,36.59,0.8476,4,1.000,1.00
4939,36.61,0.8480,4,1.000,1.00
4948,36.62,0.8486,4,1.000,1.00
4956,36.64,0.8490,4,1.000,1.00
4965,36.66,0.8494,4,1.000,1.00
4974,36.68,0.8498,4,1.000,1.00
4983,36.70,0.8502,4,1.000,1.00
4992,36.71,0.8506,4,1.000,1.00
5000,36.73,0.8510,4,1.000,1.00
5009,36.75,0.8514,4,1.000,1.00
5017,36.77,0.8518,4,1.000,1.00
5026,36.78,0.8522,4,1.000,1.00
5034,36.80,0.8526,4,1.000,1.00
5043,36.82,0.8529,4,1.000,1.00
5052,36.83,0.8533,4,1.000,1.00
5061,36.85,0.8537,4,1.000,1.00
5069,36.87,0.8541,4,1.000,1.00
5078,36.88,0.8545,4,1.000,1.00
5086,36.90,0.8549,4,1.000,1.00
5095,36.92,0.8553,4,1.000,1.00
5103,36.93,0.8557,4,1.000,1.00
5111,36.95,0.8560,4,1.000,1.00
5119,36.98,0.8575,4,1.000,1.00
5128,37.00,0.8584,4,1.000,1.00
5136,37.03,0.8589,4,1.000,1.00
5144,37.06,0.8595,4,1.000,1.00
5152,37.08,0.8601,4,1.000,1.00
5161,37.11,0.8606,4,1.000,1.00
5169,37.13,0.8611,4,1.000,1.00
5177,37.16,0.8616,4,1.000,1.00
5185,37.18,0.8621,4,1.000,1.00
5194,37.20,0.8626,4,1.000,1.00
5202,37.23,0.8631,4,1.000,1.00
5210,37.25,0.8636,4,1.000,1.00
5219,37.27,0.8641,4,1.000,1.00
5228,37.30,0.8646,4,1.000,1.00
5237,37.32,0.8651,4,1.000,1.00
5246,37.35,0.8657,4,1.000,1.00
5254,37.37,0.8661,4,1.000,1.00
5263,37.39,0.8667,4,1.000,1.00
5271,37.41,0.8671,4,1.000,1.00
5281,37.42,0.8676,4,1.000,1.00
5291,37.44,0.8670,4,1.000,1.00
5299,37.46,0.8684,4,1.000,1.00
5309,37.49,0.8689,4,1.000,1.00
5318,37.51,0.8693,4,1.000,1.00
5326,37.53,0.8697,4,1.000,1.00
5336,37.55,0.8702,4,1.000,1.00
5346,37.57,0.8706,4,1.000,1.00
5355,37.59,0.8711,4,1.000,1.00
5363,37.61,0.8716,4,1.000,1.00
5371,37.63,0.8720,4,1.000,1.00
5381,37.65,0.8724,4,1.000,1.00
5389,37.67,0.8728,4,1.000,1.00
5398,37.69,0.8732,4,1.000,1.00
5407,37.71,0.8736,4,1.000,1.00
5416,37.72,0.8740,4,1.000,1.00
5425,37.74,0.8744,4,1.000,1.00
5433,37.76,0.8748,4,1.000,1.00
5442,37.78,0.8752,4,1.000,1.00
5453,37.80,0.8756,4,1.000,1.00
5462,37.82,0.8760,4,1.000,1.00
5470,37.83,0.8765,4,1.000,1.00
5478,37.85,0.8769,4,1.000,1.00
5487,37.87,0.8772,4,1.000,1.00
5496,37.88,0.8776,4,1.000,1.00
5505,37.90,0.8780,4,1.000,1.00
5515,37.92,0.8783,4,1.000,1.00
5530,37.95,0.8787,4,1.000,1.00
5543,37.97,0.8791,4,1.000,1.00
5553,37.99,0.8797,4,1.000,1.00
5567,38.01,0.8802,4,1.000,1.00
5581,38.04,0.8807,4,1.000,1.00
5591,38.05,0.8812,4,1.000,1.00
5601,38.07,0.8818,4,1.000,1.00
5610,38.09,0.8822,4,1.000,1.00
5619,38.10,0.8826,4,1.000,1.00
5628,38.12,0.8829,4,1.000,1.00
5637,38.13,0.8833,4,1.000,1.00
5646,38.15,0.8837,4,1.000,1.00
5655,38.16,0.8840,4,1.000,1.00
5664,38.18,0.8843,4,1.000,1.00
5672,38.19,0.8847,4,1.000,1.00
5682,38.21,0.8838,4,1.000,1.00
5690,38.22,0.8852,4,1.000,1.00
5699,38.23,0.8855,4,1.000,1.00
5709,38.25,0.8859,4,1.000,1.00
5718,38.27,0.8862,4,1.000,1.00
5726,38.28,0.8866,4,1.000,1.00
5735,38.29,0.8870,4,1.000,1.00
5745,38.31,0.8873,4,1.000,1.00
5754,38.32,0.8876,4,1.000,1.00
5763,38.34,0.8880,4,1.000,1.00
5772,38.35,0.8884,4,1.000,1.00
5783,38.37,0.8887,4,1.000,1.00
5793,38.39,0.8890,4,1.000,1.00
5804,38.40,0.8894,4,1.000,1.00
5816,38.42,0.8898,4,1.000,1.00
5828,38.44,0.8902,4,1.000,1.00
5839,38.46,0.8906,4,1.000,1.00
5849,38.48,0.8910,4,1.000,1.00
5859,38.49,0.8914,4,1.000,1.00
5868,38.50,0.8918,4,1.000,1.00
5878,38.52,0.8921,4,1.000,1.00
5887,38.53,0.8925,4,1.000,1.00
5896,38.55,0.8928,4,1.000,1.00
5905,38.56,0.8931,4,1.000,1.00
5914,38.57,0.8934,4,1.000,1.00
5923,38.59,0.8937,4,1.000,1.00
